# trades.txt
# A record of trades

# TODO: put this into a database
#       accumulate share count
#       calculate Cost Of Ownership (COO)
#       calculate RTI % on sales

# ticker  YYYYmmdd buy/sell quantity $

adi 20230707 Buy 5 186.19
adi 20230721 Buy 5 189.65

agr 20230630 Buy 27 37.46
agr 20230707 Buy 27 37.16

amat 20230707 Buy 7 140.38
amat 20230721 Buy 7 134.04

amd 20230630 Buy 9 111.24
amd 20230707 Buy 8 113.48
amd 20230721 Buy 9 110.25

amzn 20230721 Buy 7 129.96

anet 20230630 Buy 6 159.29
anet 20230707 Sell 6 158.9

asml 20230707 Buy 1 699.31
asml 20230721 Buy 1 676.13

avgo 20230707 Buy 1 848.0

bac 20230630 Buy 35 28.66
bac 20230707 Buy 35 28.28

bidu 20230630 Buy 7 134.56
bidu 20230707 Buy 7 138.19
bidu 20230721 Buy 6 143.03

bkh 20230630 Buy 16 60.33
bkh 20230707 Buy 16 59.29
bkh 20230714 Sell 16 60.4

c 20230630 Buy 21 46.29
c 20230707 Buy 22 45.38

cbu 20230630 Buy 20 48.57
cbu 20230707 Buy 22 44.87
cbu 20230714 Buy 22 45.46

ccl 20230721 Buy 58 17.65

crox 20230630 Buy 9 108.21
crox 20230707 Sell 9 111.43

cwen 20230630 Buy 35 28.06
cwen 20230707 Buy 37 27.6
cwen 20230714 Buy 37 27.72
cwen 20230721 Buy 37 27.69

cwt 20230630 Buy 19 51.74
cwt 20230707 Buy 20 50.48
cwt 20230714 Sell 19 51.41

elv 20230630 Buy 2 440.1
elv 20230707 Buy 2 439.3
elv 20230714 Buy 2 417.63

f 20230721 Buy 71 14.03

fmc 20230630 Buy 9 104.53
fmc 20230707 Buy 9 103.36

fmc 20230714 Buy 10 96.18
fmc 20230721 Buy 10 95.64

gnrc 20230721 Sell 6 147.28

googl 20230630 Buy 8 119.1
googl 20230707 Buy 8 120.11
googl 20230721 Buy 8 119.2

hum 20230630 Buy 2 443.86
hum 20230707 Buy 2 440.99
hum 20230714 Buy 2 424.29

intc 20230630 Buy 31 32.91
intc 20230707 Buy 32 31.97

key 20230630 Buy 111 9.33
key 20230707 Buy 111 9.43

knx 20230630 Sell 18 55.74
knx 20230707 Buy 18 54.38

ko 20230630 Buy 16 60.02
ko 20230707 Buy 16 60.56
ko 20230714 Buy 16 60.35

leg 20230630 Buy 34 29.87
leg 20230707 Buy 34 29.16
leg 20230721 Sell 34 29.81

lmt 20230630 Buy 2 457.44
lmt 20230721 Buy 2 456.01

mchp 20230721 Buy 11 88.24

mu 20230630 Buy 15 64.209
mu 20230707 Buy 16 61.115
mu 20230714 Sell 15 64.53

nclh 20230721 Buy 50 20.68

nvda 20230630 Buy 2 408.22
nvda 20230707 Sell 2 421.03

oak-pb 20230630 Buy 47 21.52
oak-pb 20230707 Buy 47 21.55
oak-pb 20230721 Buy 47 21.85

orcl 20230707 Buy 8 115.45
orcl 20230714 Buy 8 117.45

pfe 20230630 Buy 27 36.12
pfe 20230707 Buy 28 35.63
pfe 20230714 Buy 27 36.06

qcom 20230630 Buy 8 118.06
qcom 20230707 Buy 8 115.22

relx 20230707 Buy 31 32.3
relx 20230714 Sell 31 32.97

rtx 20230721 Buy 10 97.16

sap 20230707 Buy 7 132.43
sap 20230721 Buy 7 133.93

swks 20230707 Sell 9 108.69

t 20230630 Sell 66 15.98
t 20230714 Buy 66 15.12

tsem 20230630 Buy 27 37.05
tsem 20230707 Buy 28 35.92
tsem 20230714 Buy 27 37.17
tsem 20230721 Buy 27 36.81

tsm 20230630 Buy 10 100.64
tsm 20230707 Buy 10 99.41
tsm 20230721 Buy 10 97.86

ugi 20230630 Buy 38 26.85
ugi 20230707 Buy 38 26.51

unf 20230630 Buy 6 156.48
unf 20230707 Buy 6 151.23
unf 20230714 Buy 6 155.93
unf 20230721 Sell 6 156.06

unh 20230630 Buy 2 476.44
unh 20230707 Buy 2 469.36
unh 20230714 Buy 2 447.75

vz 20230714 Buy 29 34.64
vz 20230721 Buy 30 33.64
